provider_name,affiliation,address,tel,distance
Rocky Mountain MS Clinic,-,"370 E 9th Ave. Salt Lake City, UT 84103",(801) 408-5700,63.3 miles
John Francis Foley JR MD,Rocky Mountain MS Clinic,"370 E 9th Ave, 106. Salt Lake City, UT 84103",(801) 408-5700,63.3 miles
Viktoria Kaplan MD,Rocky Mountain MS Clinic,"370 E 9th Ave, 106. Salt Lake City, UT 84103",(801) 408-5700,63.3 miles
John W Rose MD,University of Utah Neurology MS Clinic,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,64.7 miles
Miguel Mateo Paz Soldan MD,University of Utah Neurology MS Clinic,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,64.7 miles
Stacey Lynn Clardy MD,University of Utah Neurology MS Clinic,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,64.7 miles
Lucy Dana Dewitt MD,University of Utah Neurology MS Clinic,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,64.7 miles
University of Utah Neurology MS Clinic,-,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,64.7 miles
Melissa Cortez DO,University of Utah Neurology MS Clinic,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,64.7 miles
"JOHN EDWARD GREENLEE, NEUROLOGIST",University of Utah Neurology MS Clinic,"729 S Arapeen Dr. Salt Lake City, UT 84108",(801) 585-7575,65.1 miles
Brett Tyson Alldredge DO,McKay-Dee Neurology Clinic,"4403 Harrison Blvd. Ogden, UT 84403",(801) 387-7880,37.3 miles
Richard Chris Hammond DO,Ogden Clinic Neurology,"4650 Harrison Blvd. Ogden, UT 84403",(801) 475-3800,37.6 miles
